,Scenario,Datetime,Region,Technology,Cost,Value
144,scenario1,2038,reg1,BW_production,fixed_cost,0.0
145,scenario1,2039,reg1,BW_production,fixed_cost,0.0
146,scenario1,2040,reg1,BW_production,fixed_cost,0.0
147,scenario1,2020,reg1,Bio_oil_production,fixed_cost,0.0
148,scenario1,2021,reg1,Bio_oil_production,fixed_cost,0.0
149,scenario1,2022,reg1,Bio_oil_production,fixed_cost,0.0
150,scenario1,2023,reg1,Bio_oil_production,fixed_cost,0.0
151,scenario1,2024,reg1,Bio_oil_production,fixed_cost,0.0
152,scenario1,2025,reg1,Bio_oil_production,fixed_cost,0.0
153,scenario1,2026,reg1,Bio_oil_production,fixed_cost,0.0
154,scenario1,2027,reg1,Bio_oil_production,fixed_cost,0.0
155,scenario1,2028,reg1,Bio_oil_production,fixed_cost,0.0
156,scenario1,2029,reg1,Bio_oil_production,fixed_cost,0.0
157,scenario1,2030,reg1,Bio_oil_production,fixed_cost,0.0
158,scenario1,2031,reg1,Bio_oil_production,fixed_cost,0.0
159,scenario1,2032,reg1,Bio_oil_production,fixed_cost,0.0
160,scenario1,2033,reg1,Bio_oil_production,fixed_cost,0.0
161,scenario1,2034,reg1,Bio_oil_production,fixed_cost,0.0
162,scenario1,2035,reg1,Bio_oil_production,fixed_cost,0.0
163,scenario1,2036,reg1,Bio_oil_production,fixed_cost,0.0
164,scenario1,2037,reg1,Bio_oil_production,fixed_cost,0.0
165,scenario1,2038,reg1,Bio_oil_production,fixed_cost,0.0
166,scenario1,2039,reg1,Bio_oil_production,fixed_cost,0.0
167,scenario1,2040,reg1,Bio_oil_production,fixed_cost,0.0
168,scenario1,2020,reg1,Geo_PP,fixed_cost,0.0
169,scenario1,2021,reg1,Geo_PP,fixed_cost,0.0
170,scenario1,2022,reg1,Geo_PP,fixed_cost,0.0
171,scenario1,2023,reg1,Geo_PP,fixed_cost,0.0
172,scenario1,2024,reg1,Geo_PP,fixed_cost,0.0
173,scenario1,2025,reg1,Geo_PP,fixed_cost,0.0
174,scenario1,2026,reg1,Geo_PP,fixed_cost,0.0
175,scenario1,2027,reg1,Geo_PP,fixed_cost,0.0
176,scenario1,2028,reg1,Geo_PP,fixed_cost,0.0
177,scenario1,2029,reg1,Geo_PP,fixed_cost,0.0
178,scenario1,2030,reg1,Geo_PP,fixed_cost,0.0
179,scenario1,2031,reg1,Geo_PP,fixed_cost,0.0
180,scenario1,2032,reg1,Geo_PP,fixed_cost,0.0
181,scenario1,2033,reg1,Geo_PP,fixed_cost,0.0
182,scenario1,2034,reg1,Geo_PP,fixed_cost,0.0
183,scenario1,2035,reg1,Geo_PP,fixed_cost,0.0
184,scenario1,2036,reg1,Geo_PP,fixed_cost,0.0
185,scenario1,2037,reg1,Geo_PP,fixed_cost,0.0
186,scenario1,2038,reg1,Geo_PP,fixed_cost,0.0
187,scenario1,2039,reg1,Geo_PP,fixed_cost,0.0
188,scenario1,2040,reg1,Geo_PP,fixed_cost,0.0
189,scenario1,2020,reg1,Solar_PV_PP,fixed_cost,0.0
190,scenario1,2021,reg1,Solar_PV_PP,fixed_cost,0.0
191,scenario1,2022,reg1,Solar_PV_PP,fixed_cost,0.0
192,scenario1,2023,reg1,Solar_PV_PP,fixed_cost,0.0
193,scenario1,2024,reg1,Solar_PV_PP,fixed_cost,0.0
194,scenario1,2025,reg1,Solar_PV_PP,fixed_cost,0.0
195,scenario1,2026,reg1,Solar_PV_PP,fixed_cost,0.0
196,scenario1,2027,reg1,Solar_PV_PP,fixed_cost,0.0
197,scenario1,2028,reg1,Solar_PV_PP,fixed_cost,0.0
198,scenario1,2029,reg1,Solar_PV_PP,fixed_cost,0.0
199,scenario1,2030,reg1,Solar_PV_PP,fixed_cost,0.0
200,scenario1,2031,reg1,Solar_PV_PP,fixed_cost,0.0
201,scenario1,2032,reg1,Solar_PV_PP,fixed_cost,0.0
202,scenario1,2033,reg1,Solar_PV_PP,fixed_cost,0.0
203,scenario1,2034,reg1,Solar_PV_PP,fixed_cost,0.0
204,scenario1,2035,reg1,Solar_PV_PP,fixed_cost,0.0
205,scenario1,2036,reg1,Solar_PV_PP,fixed_cost,0.0
206,scenario1,2037,reg1,Solar_PV_PP,fixed_cost,0.0
207,scenario1,2038,reg1,Solar_PV_PP,fixed_cost,0.0
208,scenario1,2039,reg1,Solar_PV_PP,fixed_cost,0.0
209,scenario1,2040,reg1,Solar_PV_PP,fixed_cost,0.0
210,scenario1,2020,reg1,Wind_PP,fixed_cost,0.0
211,scenario1,2021,reg1,Wind_PP,fixed_cost,0.0
212,scenario1,2022,reg1,Wind_PP,fixed_cost,0.0
213,scenario1,2023,reg1,Wind_PP,fixed_cost,0.0
214,scenario1,2024,reg1,Wind_PP,fixed_cost,0.0
215,scenario1,2025,reg1,Wind_PP,fixed_cost,0.0
216,scenario1,2026,reg1,Wind_PP,fixed_cost,0.0
217,scenario1,2027,reg1,Wind_PP,fixed_cost,0.0
218,scenario1,2028,reg1,Wind_PP,fixed_cost,0.0
219,scenario1,2029,reg1,Wind_PP,fixed_cost,0.0
220,scenario1,2030,reg1,Wind_PP,fixed_cost,0.0
221,scenario1,2031,reg1,Wind_PP,fixed_cost,0.0
222,scenario1,2032,reg1,Wind_PP,fixed_cost,0.0
223,scenario1,2033,reg1,Wind_PP,fixed_cost,0.0
224,scenario1,2034,reg1,Wind_PP,fixed_cost,0.0
225,scenario1,2035,reg1,Wind_PP,fixed_cost,0.0
226,scenario1,2036,reg1,Wind_PP,fixed_cost,0.0
227,scenario1,2037,reg1,Wind_PP,fixed_cost,0.0
228,scenario1,2038,reg1,Wind_PP,fixed_cost,0.0
229,scenario1,2039,reg1,Wind_PP,fixed_cost,0.0
230,scenario1,2040,reg1,Wind_PP,fixed_cost,0.0
231,scenario1,2020,reg1,Hydro_PP,fixed_cost,0.0
232,scenario1,2021,reg1,Hydro_PP,fixed_cost,0.0
233,scenario1,2022,reg1,Hydro_PP,fixed_cost,0.0
234,scenario1,2023,reg1,Hydro_PP,fixed_cost,0.0
235,scenario1,2024,reg1,Hydro_PP,fixed_cost,0.0
236,scenario1,2025,reg1,Hydro_PP,fixed_cost,0.0
237,scenario1,2026,reg1,Hydro_PP,fixed_cost,0.0
238,scenario1,2027,reg1,Hydro_PP,fixed_cost,0.0
239,scenario1,2028,reg1,Hydro_PP,fixed_cost,0.0
240,scenario1,2029,reg1,Hydro_PP,fixed_cost,0.0
241,scenario1,2030,reg1,Hydro_PP,fixed_cost,0.0
242,scenario1,2031,reg1,Hydro_PP,fixed_cost,0.0
243,scenario1,2032,reg1,Hydro_PP,fixed_cost,0.0
244,scenario1,2033,reg1,Hydro_PP,fixed_cost,0.0
245,scenario1,2034,reg1,Hydro_PP,fixed_cost,0.0
246,scenario1,2035,reg1,Hydro_PP,fixed_cost,0.0
247,scenario1,2036,reg1,Hydro_PP,fixed_cost,0.0
248,scenario1,2037,reg1,Hydro_PP,fixed_cost,0.0
249,scenario1,2038,reg1,Hydro_PP,fixed_cost,0.0
250,scenario1,2039,reg1,Hydro_PP,fixed_cost,0.0
251,scenario1,2040,reg1,Hydro_PP,fixed_cost,0.0
252,scenario1,2020,reg1,Pump_hydro_PP,fixed_cost,0.0
253,scenario1,2021,reg1,Pump_hydro_PP,fixed_cost,0.0
254,scenario1,2022,reg1,Pump_hydro_PP,fixed_cost,0.0
255,scenario1,2023,reg1,Pump_hydro_PP,fixed_cost,0.0
256,scenario1,2024,reg1,Pump_hydro_PP,fixed_cost,0.0
257,scenario1,2025,reg1,Pump_hydro_PP,fixed_cost,0.0
258,scenario1,2026,reg1,Pump_hydro_PP,fixed_cost,0.0
259,scenario1,2027,reg1,Pump_hydro_PP,fixed_cost,0.0
260,scenario1,2028,reg1,Pump_hydro_PP,fixed_cost,0.0
261,scenario1,2029,reg1,Pump_hydro_PP,fixed_cost,0.0
262,scenario1,2030,reg1,Pump_hydro_PP,fixed_cost,0.0
263,scenario1,2031,reg1,Pump_hydro_PP,fixed_cost,0.0
264,scenario1,2032,reg1,Pump_hydro_PP,fixed_cost,0.0
265,scenario1,2033,reg1,Pump_hydro_PP,fixed_cost,0.0
266,scenario1,2034,reg1,Pump_hydro_PP,fixed_cost,0.0
267,scenario1,2035,reg1,Pump_hydro_PP,fixed_cost,0.0
268,scenario1,2036,reg1,Pump_hydro_PP,fixed_cost,0.0
269,scenario1,2037,reg1,Pump_hydro_PP,fixed_cost,0.0
270,scenario1,2038,reg1,Pump_hydro_PP,fixed_cost,0.0
271,scenario1,2039,reg1,Pump_hydro_PP,fixed_cost,0.0
272,scenario1,2040,reg1,Pump_hydro_PP,fixed_cost,0.0
273,scenario1,2020,reg1,Electricity_imports,fixed_cost,0.0
274,scenario1,2021,reg1,Electricity_imports,fixed_cost,0.0
275,scenario1,2022,reg1,Electricity_imports,fixed_cost,0.0
276,scenario1,2023,reg1,Electricity_imports,fixed_cost,0.0
277,scenario1,2024,reg1,Electricity_imports,fixed_cost,0.0
278,scenario1,2025,reg1,Electricity_imports,fixed_cost,0.0
279,scenario1,2026,reg1,Electricity_imports,fixed_cost,0.0
280,scenario1,2027,reg1,Electricity_imports,fixed_cost,0.0
281,scenario1,2028,reg1,Electricity_imports,fixed_cost,0.0
282,scenario1,2029,reg1,Electricity_imports,fixed_cost,0.0
283,scenario1,2030,reg1,Electricity_imports,fixed_cost,0.0
284,scenario1,2031,reg1,Electricity_imports,fixed_cost,0.0
285,scenario1,2032,reg1,Electricity_imports,fixed_cost,0.0
286,scenario1,2033,reg1,Electricity_imports,fixed_cost,0.0
287,scenario1,2034,reg1,Electricity_imports,fixed_cost,0.0
288,scenario1,2035,reg1,Electricity_imports,fixed_cost,0.0
289,scenario1,2036,reg1,Electricity_imports,fixed_cost,0.0
290,scenario1,2037,reg1,Electricity_imports,fixed_cost,0.0
291,scenario1,2038,reg1,Electricity_imports,fixed_cost,0.0
292,scenario1,2039,reg1,Electricity_imports,fixed_cost,0.0
293,scenario1,2040,reg1,Electricity_imports,fixed_cost,0.0
294,scenario1,2020,reg1,Geo_HP,fixed_cost,0.0
295,scenario1,2021,reg1,Geo_HP,fixed_cost,0.0
296,scenario1,2022,reg1,Geo_HP,fixed_cost,0.0
297,scenario1,2023,reg1,Geo_HP,fixed_cost,0.0
298,scenario1,2024,reg1,Geo_HP,fixed_cost,0.0
299,scenario1,2025,reg1,Geo_HP,fixed_cost,0.0
300,scenario1,2026,reg1,Geo_HP,fixed_cost,0.0
301,scenario1,2027,reg1,Geo_HP,fixed_cost,0.0
302,scenario1,2028,reg1,Geo_HP,fixed_cost,0.0
303,scenario1,2029,reg1,Geo_HP,fixed_cost,0.0
304,scenario1,2030,reg1,Geo_HP,fixed_cost,0.0
305,scenario1,2031,reg1,Geo_HP,fixed_cost,0.0
306,scenario1,2032,reg1,Geo_HP,fixed_cost,0.0
307,scenario1,2033,reg1,Geo_HP,fixed_cost,0.0
308,scenario1,2034,reg1,Geo_HP,fixed_cost,0.0
309,scenario1,2035,reg1,Geo_HP,fixed_cost,0.0
310,scenario1,2036,reg1,Geo_HP,fixed_cost,0.0
311,scenario1,2037,reg1,Geo_HP,fixed_cost,0.0
312,scenario1,2038,reg1,Geo_HP,fixed_cost,0.0
313,scenario1,2039,reg1,Geo_HP,fixed_cost,0.0
314,scenario1,2040,reg1,Geo_HP,fixed_cost,-0.0
315,scenario1,2020,reg1,Pump_hydro_ST,fixed_cost,0.0
316,scenario1,2021,reg1,Pump_hydro_ST,fixed_cost,0.0
317,scenario1,2022,reg1,Pump_hydro_ST,fixed_cost,0.0
318,scenario1,2023,reg1,Pump_hydro_ST,fixed_cost,0.0
319,scenario1,2024,reg1,Pump_hydro_ST,fixed_cost,0.0
320,scenario1,2025,reg1,Pump_hydro_ST,fixed_cost,0.0
321,scenario1,2026,reg1,Pump_hydro_ST,fixed_cost,0.0
322,scenario1,2027,reg1,Pump_hydro_ST,fixed_cost,0.0
323,scenario1,2028,reg1,Pump_hydro_ST,fixed_cost,0.0
324,scenario1,2029,reg1,Pump_hydro_ST,fixed_cost,0.0
325,scenario1,2030,reg1,Pump_hydro_ST,fixed_cost,0.0
326,scenario1,2031,reg1,Pump_hydro_ST,fixed_cost,0.0
327,scenario1,2032,reg1,Pump_hydro_ST,fixed_cost,0.0
328,scenario1,2033,reg1,Pump_hydro_ST,fixed_cost,0.0
329,scenario1,2034,reg1,Pump_hydro_ST,fixed_cost,0.0
330,scenario1,2035,reg1,Pump_hydro_ST,fixed_cost,0.0
331,scenario1,2036,reg1,Pump_hydro_ST,fixed_cost,0.0
332,scenario1,2037,reg1,Pump_hydro_ST,fixed_cost,0.0
333,scenario1,2038,reg1,Pump_hydro_ST,fixed_cost,0.0
334,scenario1,2039,reg1,Pump_hydro_ST,fixed_cost,0.0
335,scenario1,2040,reg1,Pump_hydro_ST,fixed_cost,0.0
336,scenario1,2020,reg1,Electrochemical_ST,fixed_cost,0.0
337,scenario1,2021,reg1,Electrochemical_ST,fixed_cost,0.0
338,scenario1,2022,reg1,Electrochemical_ST,fixed_cost,0.0
339,scenario1,2023,reg1,Electrochemical_ST,fixed_cost,0.0
340,scenario1,2024,reg1,Electrochemical_ST,fixed_cost,0.0
341,scenario1,2025,reg1,Electrochemical_ST,fixed_cost,0.0
342,scenario1,2026,reg1,Electrochemical_ST,fixed_cost,0.0
343,scenario1,2027,reg1,Electrochemical_ST,fixed_cost,0.0
344,scenario1,2028,reg1,Electrochemical_ST,fixed_cost,0.0
345,scenario1,2029,reg1,Electrochemical_ST,fixed_cost,0.0
346,scenario1,2030,reg1,Electrochemical_ST,fixed_cost,0.0
347,scenario1,2031,reg1,Electrochemical_ST,fixed_cost,0.0
348,scenario1,2032,reg1,Electrochemical_ST,fixed_cost,0.0
349,scenario1,2033,reg1,Electrochemical_ST,fixed_cost,0.0
350,scenario1,2034,reg1,Electrochemical_ST,fixed_cost,0.0
351,scenario1,2035,reg1,Electrochemical_ST,fixed_cost,0.0
352,scenario1,2036,reg1,Electrochemical_ST,fixed_cost,0.0
353,scenario1,2037,reg1,Electrochemical_ST,fixed_cost,0.0
354,scenario1,2038,reg1,Electrochemical_ST,fixed_cost,0.0
355,scenario1,2039,reg1,Electrochemical_ST,fixed_cost,0.0
