,Datetime,Region,Technology,Tech category,Value
160,2025,reg1,Geo_PP,Supply,0.053650000000000087
161,2026,reg1,Geo_PP,Supply,0.049450000000000105
162,2027,reg1,Geo_PP,Supply,0.049449999999999994
163,2028,reg1,Geo_PP,Supply,0.049449999999999994
164,2029,reg1,Geo_PP,Supply,0.049449999999999994
165,2030,reg1,Geo_PP,Supply,0.04944999999999988
166,2031,reg1,Geo_PP,Supply,0.04344999999999999
167,2032,reg1,Geo_PP,Supply,0.04344999999999999
168,2033,reg1,Geo_PP,Supply,0.0434500000000001
169,2034,reg1,Geo_PP,Supply,0.04344999999999999
170,2035,reg1,Geo_PP,Supply,0.04344999999999999
171,2036,reg1,Geo_PP,Supply,0.04344999999999999
172,2037,reg1,Geo_PP,Supply,0.04344999999999999
173,2038,reg1,Geo_PP,Supply,0.04344999999999999
174,2039,reg1,Geo_PP,Supply,0.04344999999999999
175,2040,reg1,Geo_PP,Supply,0.04344999999999977
176,2041,reg1,Geo_PP,Supply,2.220446049250313e-16
177,2042,reg1,Geo_PP,Supply,0.0
178,2043,reg1,Geo_PP,Supply,0.0
179,2044,reg1,Geo_PP,Supply,0.0
180,2045,reg1,Geo_PP,Supply,0.0
181,2046,reg1,Geo_PP,Supply,0.0
182,2047,reg1,Geo_PP,Supply,0.0
183,2048,reg1,Geo_PP,Supply,0.0
184,2049,reg1,Geo_PP,Supply,0.0
185,2050,reg1,Geo_PP,Supply,0.0
186,2020,reg1,Solar_PV_PP,Supply,0.0
187,2021,reg1,Solar_PV_PP,Supply,2.2459999999999987
188,2022,reg1,Solar_PV_PP,Supply,2.2459999999999987
189,2023,reg1,Solar_PV_PP,Supply,2.2459999999999987
190,2024,reg1,Solar_PV_PP,Supply,2.272000000000002
191,2025,reg1,Solar_PV_PP,Supply,5.0
192,2026,reg1,Solar_PV_PP,Supply,5.0
193,2027,reg1,Solar_PV_PP,Supply,5.0
194,2028,reg1,Solar_PV_PP,Supply,5.0
195,2029,reg1,Solar_PV_PP,Supply,5.0
196,2030,reg1,Solar_PV_PP,Supply,5.0
197,2031,reg1,Solar_PV_PP,Supply,0.8659999999999997
198,2032,reg1,Solar_PV_PP,Supply,0.8659999999999997
199,2033,reg1,Solar_PV_PP,Supply,0.8659999999999997
200,2034,reg1,Solar_PV_PP,Supply,0.8659999999999997
201,2035,reg1,Solar_PV_PP,Supply,0.8659999999999997
202,2036,reg1,Solar_PV_PP,Supply,0.8659999999999997
203,2037,reg1,Solar_PV_PP,Supply,0.8659999999999997
204,2038,reg1,Solar_PV_PP,Supply,0.8659999999999997
205,2039,reg1,Solar_PV_PP,Supply,0.8659999999999997
206,2040,reg1,Solar_PV_PP,Supply,0.8659999999999997
207,2041,reg1,Solar_PV_PP,Supply,0.8659999999999997
208,2042,reg1,Solar_PV_PP,Supply,0.8659999999999997
209,2043,reg1,Solar_PV_PP,Supply,0.8659999999999997
210,2044,reg1,Solar_PV_PP,Supply,0.8659999999999997
211,2045,reg1,Solar_PV_PP,Supply,0.8659999999999997
212,2046,reg1,Solar_PV_PP,Supply,2.2460000000000058
213,2047,reg1,Solar_PV_PP,Supply,2.2459999999999987
214,2048,reg1,Solar_PV_PP,Supply,2.2459999999999987
215,2049,reg1,Solar_PV_PP,Supply,2.272000000000002
216,2050,reg1,Solar_PV_PP,Supply,5.0
217,2020,reg1,Wind_PP,Supply,0.0
218,2021,reg1,Wind_PP,Supply,1.559409999999998
219,2022,reg1,Wind_PP,Supply,1.5594099999999997
220,2023,reg1,Wind_PP,Supply,1.5594099999999997
221,2024,reg1,Wind_PP,Supply,1.5594099999999997
222,2025,reg1,Wind_PP,Supply,1.5594100000000015
223,2026,reg1,Wind_PP,Supply,1.2135300000000022
224,2027,reg1,Wind_PP,Supply,1.2135300000000022
225,2028,reg1,Wind_PP,Supply,1.2135300000000022
226,2029,reg1,Wind_PP,Supply,1.2135300000000004
227,2030,reg1,Wind_PP,Supply,1.2135299999999951
228,2031,reg1,Wind_PP,Supply,0.5435299999999987
229,2032,reg1,Wind_PP,Supply,0.5435300000000005
230,2033,reg1,Wind_PP,Supply,0.5435300000000005
231,2034,reg1,Wind_PP,Supply,0.5435300000000005
232,2035,reg1,Wind_PP,Supply,0.5435300000000005
233,2036,reg1,Wind_PP,Supply,0.5435300000000005
234,2037,reg1,Wind_PP,Supply,0.5435299999999952
235,2038,reg1,Wind_PP,Supply,0.5435300000000041
236,2039,reg1,Wind_PP,Supply,0.543529999999997
237,2040,reg1,Wind_PP,Supply,0.5435300000000041
238,2041,reg1,Wind_PP,Supply,0.0
239,2042,reg1,Wind_PP,Supply,0.0
240,2043,reg1,Wind_PP,Supply,0.0
241,2044,reg1,Wind_PP,Supply,0.0
242,2045,reg1,Wind_PP,Supply,0.0
243,2046,reg1,Wind_PP,Supply,1.5594099999999962
244,2047,reg1,Wind_PP,Supply,1.5594099999999997
245,2048,reg1,Wind_PP,Supply,1.559409999999998
246,2049,reg1,Wind_PP,Supply,1.5594099999999997
247,2050,reg1,Wind_PP,Supply,1.5594100000000033
248,2020,reg1,Hydro_PP,Supply,0.0
249,2021,reg1,Hydro_PP,Supply,0.44738893228384313
250,2022,reg1,Hydro_PP,Supply,0.44738893228384313
251,2023,reg1,Hydro_PP,Supply,0.44738893228384313
252,2024,reg1,Hydro_PP,Supply,0.44738893228384313
253,2025,reg1,Hydro_PP,Supply,0.44738893228384313
254,2026,reg1,Hydro_PP,Supply,0.44738893228384313
255,2027,reg1,Hydro_PP,Supply,0.44738893228384313
256,2028,reg1,Hydro_PP,Supply,0.44738893228384313
257,2029,reg1,Hydro_PP,Supply,0.44738893228384313
258,2030,reg1,Hydro_PP,Supply,0.44738893228384313
259,2031,reg1,Hydro_PP,Supply,0.4295454545454547
260,2032,reg1,Hydro_PP,Supply,0.4295454545454547
261,2033,reg1,Hydro_PP,Supply,0.4295454545454547
262,2034,reg1,Hydro_PP,Supply,0.4295454545454547
263,2035,reg1,Hydro_PP,Supply,0.4295454545454547
264,2036,reg1,Hydro_PP,Supply,0.4295454545454547
265,2037,reg1,Hydro_PP,Supply,0.4295454545454547
266,2038,reg1,Hydro_PP,Supply,0.4295454545454547
267,2039,reg1,Hydro_PP,Supply,0.4295454545454547
268,2040,reg1,Hydro_PP,Supply,0.4295454545454547
269,2041,reg1,Hydro_PP,Supply,0.4295454545454547
270,2042,reg1,Hydro_PP,Supply,0.4295454545454547
271,2043,reg1,Hydro_PP,Supply,0.4295454545454547
272,2044,reg1,Hydro_PP,Supply,0.4295454545454547
273,2045,reg1,Hydro_PP,Supply,0.4295454545454547
274,2046,reg1,Hydro_PP,Supply,0.4295454545454547
275,2047,reg1,Hydro_PP,Supply,0.4295454545454547
