Scenario,Year,Actualized emission
scenario7,Y35,97967241.5226715
scenario7,Y36,93391427.88830768
scenario7,Y37,88944217.0364835
scenario7,Y38,84708778.12998427
scenario7,Y39,80675026.79046118
scenario7,Y40,76833358.84805825
scenario7,Y41,73164137.07716903
scenario7,Y42,69685927.2097957
scenario7,Y43,66380721.32044518
scenario7,Y44,63220843.3019924
scenario7,Y45,60324129.03683897
scenario7,Y46,57275447.72786351
scenario7,Y47,54437789.95097724
scenario7,Y48,51928261.4991359
scenario7,Y49,49601450.61463208
scenario7,Y50,47482679.85544482
scenario8,Y0,907372520.5918912
scenario8,Y1,814903214.5323315
scenario8,Y2,781055314.0630454
scenario8,Y3,743736844.5357683
scenario8,Y4,709465734.7792565
scenario8,Y5,675545580.650811
scenario8,Y6,625781132.9804621
scenario8,Y7,581021763.6917969
scenario8,Y8,540516996.0879278
scenario8,Y9,503476587.5758776
scenario8,Y10,468342308.1469172
scenario8,Y11,435381656.5077051
scenario8,Y12,406661936.9711448
scenario8,Y13,379323152.44010526
scenario8,Y14,353876874.1633225
scenario8,Y15,328273397.49062365
scenario8,Y16,304284491.87366426
scenario8,Y17,282831580.1940536
scenario8,Y18,261760532.7747149
scenario8,Y19,242722566.63132063
scenario8,Y20,224837991.21656972
scenario8,Y21,209869342.5376416
scenario8,Y22,195113258.389
scenario8,Y23,181804351.26328185
scenario8,Y24,168741504.23468265
scenario8,Y25,156268885.34114838
scenario8,Y26,147415972.6171557
scenario8,Y27,139850567.9844426
scenario8,Y28,132568758.87140577
scenario8,Y29,125923309.2495925
scenario8,Y30,119700278.81333566
scenario8,Y31,113998753.90703164
scenario8,Y32,108244438.5835024
scenario8,Y33,102896954.1337855
scenario8,Y34,98126526.87997817
scenario8,Y35,93363316.05770524
scenario8,Y36,89021700.05540922
scenario8,Y37,84782571.48134209
scenario8,Y38,80745306.17270677
scenario8,Y39,76881576.7218765
scenario8,Y40,73574104.40109366
scenario8,Y41,70587565.24103932
scenario8,Y42,67316789.718149
scenario8,Y43,64201096.79034831
scenario8,Y44,61217698.49728679
scenario8,Y45,58552674.682837054
scenario8,Y46,55586403.33139839
scenario8,Y47,52715284.92570777
scenario8,Y48,50289518.75883625
scenario8,Y49,47967629.52721167
scenario8,Y50,45938142.26430299
scenario9,Y0,907372520.5918912
scenario9,Y1,814779307.4860123
scenario9,Y2,780937307.3522654
scenario9,Y3,688112365.0588503
scenario9,Y4,657287914.9806682
scenario9,Y5,628183480.388974
scenario9,Y6,582987819.011301
scenario9,Y7,540995888.361821
scenario9,Y8,501724433.9609674
scenario9,Y9,462432095.7321764
scenario9,Y10,432754918.2346269
scenario9,Y11,403280706.152462
scenario9,Y12,376757177.12232375
scenario9,Y13,351712555.3297576
scenario9,Y14,328709014.0845326
scenario9,Y15,307182941.0414332
scenario9,Y16,285706302.53614163
scenario9,Y17,264513461.7152594
scenario9,Y18,242287188.1233232
scenario9,Y19,222974819.70670828
scenario9,Y20,204649280.10121888
scenario9,Y21,189829395.2618596
scenario9,Y22,175164473.7596084
scenario9,Y23,161580837.03424674
scenario9,Y24,148583708.16455868
scenario9,Y25,136244685.1486008
scenario9,Y26,128553312.64764014
scenario9,Y27,121887152.30501504
scenario9,Y28,116504390.25597748
scenario9,Y29,110519542.99808829
scenario9,Y30,104757969.3013138
scenario9,Y31,99765646.83171162
scenario9,Y32,95007310.74379604
scenario9,Y33,90403059.05125028
scenario9,Y34,86160599.40611991
scenario9,Y35,81796055.21168816
scenario9,Y36,77887252.99515803
scenario9,Y37,74161696.15430768
scenario9,Y38,70630186.81362635
scenario9,Y39,67261116.95925987
scenario9,Y40,63950944.99177311
scenario9,Y41,60936471.18705497
scenario9,Y42,58043709.73768725
scenario9,Y43,55258346.22714198
scenario9,Y44,52646817.381586336
scenario9,Y45,50256134.10955502
scenario9,Y46,47710307.81630575
scenario9,Y47,45538050.20559383
scenario9,Y48,43683559.22641575
scenario9,Y49,41977142.44599718
scenario9,Y50,40441173.71227129
scenario10,Y0,907372520.5918912
scenario10,Y1,817298723.9150186
scenario10,Y2,783750383.997101
scenario10,Y3,748676297.4518553
scenario10,Y4,713975718.6886249
scenario10,Y5,679981741.0037568
scenario10,Y6,630588041.4541392
scenario10,Y7,585179649.6410687
scenario10,Y8,544757994.31396
scenario10,Y9,507532564.429367
scenario10,Y10,472516069.36474544
scenario10,Y11,439968340.0224527
scenario10,Y12,411215061.6087405
scenario10,Y13,383875647.2654854
scenario10,Y14,358607955.947379
scenario10,Y15,335091786.0132375
scenario10,Y16,315066714.170628
scenario10,Y17,296077028.42456645
scenario10,Y18,276944895.9636426
scenario10,Y19,259681908.9220714
scenario10,Y20,243436182.3585951
scenario10,Y21,229764344.131218
scenario10,Y22,216268965.183556
scenario10,Y23,203619792.2814465
