Scenario,Year,Actualized cost
scenario7,Y39,12139033447.934406
scenario7,Y40,11718433256.646051
scenario7,Y41,11129914464.514246
scenario7,Y42,10560500686.166252
scenario7,Y43,10010679542.48987
scenario7,Y44,9519340948.595469
scenario7,Y45,9026697772.164425
scenario7,Y46,8510928161.518047
scenario7,Y47,8084573528.47356
scenario7,Y48,7703132926.036271
scenario7,Y49,7389751424.039727
scenario7,Y50,7084669270.6896105
scenario8,Y0,68153634743.81135
scenario8,Y1,94975744006.35394
scenario8,Y2,152750904549.36356
scenario8,Y3,99872479139.2804
scenario8,Y4,96591382447.6622
scenario8,Y5,93750735087.04518
scenario8,Y6,86691676734.60225
scenario8,Y7,79964445460.8619
scenario8,Y8,74876055671.50194
scenario8,Y9,71353356643.68944
scenario8,Y10,68239364887.583206
scenario8,Y11,61638361827.83424
scenario8,Y12,57722038058.59279
scenario8,Y13,54682554209.90783
scenario8,Y14,52511193966.10451
scenario8,Y15,49514805379.69647
scenario8,Y16,47418747686.88601
scenario8,Y17,44484621864.74676
scenario8,Y18,42397039364.12359
scenario8,Y19,40978440753.61884
scenario8,Y20,37615647306.99885
scenario8,Y21,36000450747.40757
scenario8,Y22,33845968431.966816
scenario8,Y23,31600945899.04412
scenario8,Y24,30230863523.54251
scenario8,Y25,28737626991.20036
scenario8,Y26,27087018742.06553
scenario8,Y27,25619051026.99569
scenario8,Y28,23808212286.78408
scenario8,Y29,22510230263.75397
scenario8,Y30,21410950006.61726
scenario8,Y31,20363315306.90479
scenario8,Y32,18821186671.09773
scenario8,Y33,17867228251.98949
scenario8,Y34,16854853192.552029
scenario8,Y35,16281314276.625742
scenario8,Y36,15174309701.184544
scenario8,Y37,14401168930.153423
scenario8,Y38,13810785448.60843
scenario8,Y39,13205105232.46131
scenario8,Y40,12563951377.699
scenario8,Y41,11928591089.958164
scenario8,Y42,11335814614.325224
scenario8,Y43,10773534773.096394
scenario8,Y44,10256490855.715986
scenario8,Y45,9738018555.606766
scenario8,Y46,9181434758.342834
scenario8,Y47,8708979977.204361
scenario8,Y48,8299023772.363701
scenario8,Y49,7951774609.312211
scenario8,Y50,7623700502.665132
scenario9,Y0,68154996148.65694
scenario9,Y1,107437723904.85852
scenario9,Y2,152996726722.69205
scenario9,Y3,112270941881.46571
scenario9,Y4,108285301514.41748
scenario9,Y5,104876719915.69617
scenario9,Y6,99211280590.40063
scenario9,Y7,89441958307.98949
scenario9,Y8,84283259657.94283
scenario9,Y9,79076291021.13544
scenario9,Y10,75538029358.7857
scenario9,Y11,68827055603.873
scenario9,Y12,64266084609.21442
scenario9,Y13,59845045654.983
scenario9,Y14,56893597635.7639
scenario9,Y15,55011148812.57864
scenario9,Y16,52324755476.42906
scenario9,Y17,49864987601.65431
scenario9,Y18,47410231334.739845
scenario9,Y19,44414591835.08437
scenario9,Y20,41098162705.0482
scenario9,Y21,39125285615.14998
scenario9,Y22,37087983333.55888
scenario9,Y23,34026506859.22479
scenario9,Y24,33604438132.443157
scenario9,Y25,30385477657.83528
scenario9,Y26,31722551866.458057
scenario9,Y27,27444154357.85503
scenario9,Y28,25611371203.56085
scenario9,Y29,24219762052.367226
scenario9,Y30,22876854589.361626
scenario9,Y31,21741970595.83368
scenario9,Y32,20192914708.10829
scenario9,Y33,19457921142.55687
scenario9,Y34,18185177442.84571
scenario9,Y35,17372926793.24057
scenario9,Y36,16195271201.544834
scenario9,Y37,15424732014.214186
scenario9,Y38,14681871543.48536
scenario9,Y39,14059154644.599028
scenario9,Y40,13558126663.775331
scenario9,Y41,12866860457.275856
scenario9,Y42,12223454914.385532
scenario9,Y43,11540402554.330664
scenario9,Y44,10835777982.79766
scenario9,Y45,10278187346.085188
scenario9,Y46,9735395621.700928
scenario9,Y47,9243320206.320768
scenario9,Y48,8814868633.878193
scenario9,Y49,8468682815.516587
scenario9,Y50,8145228922.334762
scenario10,Y0,68127314545.096886
scenario10,Y1,94955765585.73344
scenario10,Y2,150953061749.60962
scenario10,Y3,85792445529.24994
scenario10,Y4,83251457030.97273
scenario10,Y5,80894050646.67896
scenario10,Y6,75147971320.08229
scenario10,Y7,69544840316.33301
scenario10,Y8,64925684015.453285
scenario10,Y9,61680460846.57483
scenario10,Y10,58725100072.22547
scenario10,Y11,53283237074.62811
scenario10,Y12,50105727955.81495
scenario10,Y13,46996735094.22008
scenario10,Y14,44552810463.286095
scenario10,Y15,42595901977.687485
scenario10,Y16,40524817866.62642
scenario10,Y17,38361992922.81554
scenario10,Y18,36513704959.99018
scenario10,Y19,35810557225.13564
scenario10,Y20,33071672603.288464
scenario10,Y21,31341289289.8664
scenario10,Y22,30198159388.37291
scenario10,Y23,28361626387.82677
scenario10,Y24,26594494201.37055
scenario10,Y25,26325613014.712017
scenario10,Y26,24954082039.44278
scenario10,Y27,23120360980.6414
scenario10,Y28,21919825666.504284
scenario10,Y29,20687407698.839176
scenario10,Y30,19502678328.737865
scenario10,Y31,18310536773.65297
scenario10,Y32,17143358811.371794
scenario10,Y33,16349937310.911827
scenario10,Y34,15483905454.374846
scenario10,Y35,14771139780.328508
scenario10,Y36,13829994800.21872
scenario10,Y37,13146079382.80004
scenario10,Y38,12511592197.041931
scenario10,Y39,11878376686.439436
scenario10,Y40,11415354363.384975
scenario10,Y41,10811547317.760384
scenario10,Y42,10291556761.807804
scenario10,Y43,9767653256.055794
scenario10,Y44,9284218368.927086
scenario10,Y45,8808905613.122667
scenario10,Y46,8333381296.205009
scenario10,Y47,7896664134.180133
scenario10,Y48,7510183884.131268
scenario10,Y49,7147394312.828964
scenario10,Y50,6853354975.608777
scenario11,Y0,68127314545.096886
scenario11,Y1,94955765585.73344
scenario11,Y2,150953061749.60962
scenario11,Y3,90542329197.93822
scenario11,Y4,87786283859.40819
scenario11,Y5,85220330788.14986
scenario11,Y6,79159828455.23448
scenario11,Y7,73266323320.68646
scenario11,Y8,68390374536.2954
scenario11,Y9,64905422854.2948
scenario11,Y10,61734351384.04196
scenario11,Y11,56075843038.41981
scenario11,Y12,52687466346.15502
scenario11,Y13,49452895969.35531
scenario11,Y14,46834472391.56395
scenario11,Y15,44708407489.97153
scenario11,Y16,42391260990.43109
scenario11,Y17,40387424887.88674
