,Scenario,Datetime,Region,Technology,Emission,Value
241,scenario1,2057,reg1,BW_supply,CO2,0.0
242,scenario1,2058,reg1,BW_supply,CO2,0.0
243,scenario1,2059,reg1,BW_supply,CO2,0.0
244,scenario1,2060,reg1,BW_supply,CO2,0.0
245,scenario1,2061,reg1,BW_supply,CO2,0.0
246,scenario1,2062,reg1,BW_supply,CO2,0.0
247,scenario1,2063,reg1,BW_supply,CO2,0.0
248,scenario1,2064,reg1,BW_supply,CO2,0.0
249,scenario1,2065,reg1,BW_supply,CO2,0.0
250,scenario1,2066,reg1,BW_supply,CO2,0.0
251,scenario1,2067,reg1,BW_supply,CO2,0.0
252,scenario1,2068,reg1,BW_supply,CO2,0.0
253,scenario1,2069,reg1,BW_supply,CO2,0.0
254,scenario1,2070,reg1,BW_supply,CO2,0.0
255,scenario1,2020,reg1,Bio_oil_supply,CO2,0.0
256,scenario1,2021,reg1,Bio_oil_supply,CO2,0.0
257,scenario1,2022,reg1,Bio_oil_supply,CO2,0.0
258,scenario1,2023,reg1,Bio_oil_supply,CO2,0.0
259,scenario1,2024,reg1,Bio_oil_supply,CO2,0.0
260,scenario1,2025,reg1,Bio_oil_supply,CO2,0.0
261,scenario1,2026,reg1,Bio_oil_supply,CO2,0.0
262,scenario1,2027,reg1,Bio_oil_supply,CO2,0.0
263,scenario1,2028,reg1,Bio_oil_supply,CO2,0.0
264,scenario1,2029,reg1,Bio_oil_supply,CO2,0.0
265,scenario1,2030,reg1,Bio_oil_supply,CO2,0.0
266,scenario1,2031,reg1,Bio_oil_supply,CO2,0.0
267,scenario1,2032,reg1,Bio_oil_supply,CO2,0.0
268,scenario1,2033,reg1,Bio_oil_supply,CO2,0.0
269,scenario1,2034,reg1,Bio_oil_supply,CO2,0.0
270,scenario1,2035,reg1,Bio_oil_supply,CO2,0.0
271,scenario1,2036,reg1,Bio_oil_supply,CO2,0.0
272,scenario1,2037,reg1,Bio_oil_supply,CO2,0.0
273,scenario1,2038,reg1,Bio_oil_supply,CO2,0.0
274,scenario1,2039,reg1,Bio_oil_supply,CO2,0.0
275,scenario1,2040,reg1,Bio_oil_supply,CO2,0.0
276,scenario1,2041,reg1,Bio_oil_supply,CO2,0.0
277,scenario1,2042,reg1,Bio_oil_supply,CO2,0.0
278,scenario1,2043,reg1,Bio_oil_supply,CO2,0.0
279,scenario1,2044,reg1,Bio_oil_supply,CO2,0.0
280,scenario1,2045,reg1,Bio_oil_supply,CO2,0.0
281,scenario1,2046,reg1,Bio_oil_supply,CO2,0.0
282,scenario1,2047,reg1,Bio_oil_supply,CO2,0.0
283,scenario1,2048,reg1,Bio_oil_supply,CO2,0.0
284,scenario1,2049,reg1,Bio_oil_supply,CO2,0.0
285,scenario1,2050,reg1,Bio_oil_supply,CO2,0.0
286,scenario1,2051,reg1,Bio_oil_supply,CO2,0.0
287,scenario1,2052,reg1,Bio_oil_supply,CO2,0.0
288,scenario1,2053,reg1,Bio_oil_supply,CO2,0.0
289,scenario1,2054,reg1,Bio_oil_supply,CO2,0.0
290,scenario1,2055,reg1,Bio_oil_supply,CO2,0.0
