Scenario,Year,Actualized emission
scenario7,Y0,1011301713.5593356
scenario7,Y1,919370283.4220448
scenario7,Y2,888130002.9589652
scenario7,Y3,749539100.3448017
scenario7,Y4,718175164.4295906
scenario7,Y5,687879235.7613623
scenario7,Y6,635727562.6516993
scenario7,Y7,586887493.1672754
scenario7,Y8,542721396.2118055
scenario7,Y9,501293639.41658497
scenario7,Y10,462468204.4077558
scenario7,Y11,431307279.3614556
scenario7,Y12,402817806.8871852
scenario7,Y13,376041182.24080354
scenario7,Y14,351437500.8293925
scenario7,Y15,328492151.0662813
scenario7,Y16,302774706.186533
scenario7,Y17,278782717.33377993
scenario7,Y18,256361171.783007
scenario7,Y19,235265324.4249915
scenario7,Y20,215694807.59036428
scenario7,Y21,197622102.83363068
scenario7,Y22,180992619.134869
scenario7,Y23,165785805.7201179
scenario7,Y24,151099766.55634788
scenario7,Y25,137986942.84137797
scenario7,Y26,130802566.2323081
scenario7,Y27,123992958.5493754
scenario7,Y28,117535280.47290725
scenario7,Y29,111405003.11335336
scenario7,Y30,105544567.59744196
scenario7,Y31,100519921.91865692
scenario7,Y32,95733258.97014944
scenario7,Y33,91174532.35252328
scenario7,Y34,87062910.05741206
scenario7,Y35,82604509.02785698
scenario7,Y36,78759989.07463409
scenario7,Y37,75009513.4044134
scenario7,Y38,71437631.81372705
scenario7,Y39,68035839.82259719
scenario7,Y40,64796037.92628303
scenario7,Y41,61710512.31074575
scenario7,Y42,58771916.48642452
scenario7,Y43,55973253.79659477
scenario7,Y44,53307860.758661695
scenario7,Y45,50907857.4075044
scenario7,Y46,48235609.017866775
scenario7,Y47,45634809.68751168
scenario7,Y48,43335284.3320426
scenario7,Y49,41250196.573374175
scenario7,Y50,39267195.761189625
scenario8,Y0,1011301713.5593356
scenario8,Y1,919370283.4220446
scenario8,Y2,888162903.6371592
scenario8,Y3,749539100.3448017
scenario8,Y4,718175164.4295906
scenario8,Y5,687879235.7613623
scenario8,Y6,635727562.6516993
scenario8,Y7,586887493.1672754
scenario8,Y8,542717367.7670484
scenario8,Y9,501289405.8459804
scenario8,Y10,462461298.93237
scenario8,Y11,431262935.49252456
scenario8,Y12,402797344.17183024
scenario8,Y13,375881951.6248686
scenario8,Y14,351427021.88135856
scenario8,Y15,328484235.21009004
scenario8,Y16,302772817.72221804
scenario8,Y17,278779025.3278962
scenario8,Y18,256357761.53699496
scenario8,Y19,235264058.0180299
scenario8,Y20,215693644.5402935
scenario8,Y21,197635182.91437423
scenario8,Y22,181005801.7614703
scenario8,Y23,165790738.24700996
scenario8,Y24,151094209.88883317
scenario8,Y25,137982169.6365906
scenario8,Y26,130828706.29491626
scenario8,Y27,124017964.42454796
scenario8,Y28,117559537.8224596
scenario8,Y29,111406477.9031468
scenario8,Y30,105546024.2854736
scenario8,Y31,100521309.24059182
scenario8,Y32,95734580.22913508
scenario8,Y33,91175790.69441432
scenario8,Y34,87064043.0834775
scenario8,Y35,82605739.60522881
scenario8,Y36,78761076.0776714
scenario8,Y37,75010548.64540131
scenario8,Y38,71438617.75752506
scenario8,Y39,68036778.81669052
scenario8,Y40,64796932.20637193
scenario8,Y41,61711364.0060685
scenario8,Y42,58772727.62482714
scenario8,Y43,55988418.97237075
scenario8,Y44,53322303.78321023
scenario8,Y45,50920266.17461829
scenario8,Y46,48190121.32154711
scenario8,Y47,45619330.55475783
scenario8,Y48,43334726.146521136
scenario8,Y49,41249666.06897345
scenario8,Y50,39265523.419102855
scenario9,Y0,1011301713.5593356
scenario9,Y1,919405012.7049547
