Scenario,Year,Actualized cost
scenario13,Y37,13563874031.552631
scenario13,Y38,12905984408.970182
scenario13,Y39,12271640598.301168
scenario13,Y40,11776642188.480743
scenario13,Y41,11189149675.92971
scenario13,Y42,10840803482.95584
scenario13,Y43,10106110713.773855
scenario13,Y44,9560049797.741816
scenario13,Y45,9077544795.819004
scenario13,Y46,8601938372.677126
scenario13,Y47,8166565454.578376
scenario13,Y48,7757333365.8323965
scenario13,Y49,7405559826.342219
scenario13,Y50,7087959583.850174
