Year_name,,Elec_transmission_distribution
2015,300,295291.25
2015,301,288341.25
2015,302,231261.25000000003
2015,303,244261.25
2015,304,261241.25
2015,305,241221.25
2015,306,222211.25
2015,307,227211.24999999997
2015,308,354176.25
2015,309,341165.25
2015,310,318165.25
2015,311,190165.25
2015,312,97145.25
2015,313,81371.666667
2015,314,82384.666667
2015,315,80388.666667
2015,316,80385.666667
2015,317,85409.666667
2015,318,166407.666667
2015,319,203401.66666699998
2015,320,217433.666667
2015,321,237433.666667
2015,322,270426.666667
2015,323,270421.666667
2015,324,268148.666667
2015,325,247153.66666700004
2015,326,180355.666667
2015,327,227599.666667
2015,328,255604.666667
2015,329,246596.666667
2015,330,213380.66666699998
2015,331,177343.666667
2015,332,300347.666667
2015,333,301286.666667
2015,334,260280.666667
2015,335,245217.666667
2015,336,140200.666667
2015,337,81219.0
2015,338,81220.0
2015,339,82232.0
2015,340,90242.0
2015,341,95245.0
2015,342,168248.0
2015,343,233216.0
2015,344,234203.00000000003
2015,345,279202.0
2015,346,300140.0
2015,347,296140.0
2015,348,306970.0
2015,349,295270.0
2015,350,276692.0
2015,351,282420.0
2015,352,298480.0
2015,353,287538.0
2015,354,294328.0
2015,355,252688.00000000006
2015,356,342697.0
2015,357,307676.0
2015,358,274676.0
2015,359,222675.99999999997
2015,360,124686.00000000001
2015,361,87508.041667
2015,362,76510.041667
2015,363,82493.041667
2015,364,56456.04166699999
2015,365,395.04166669999995
2015,366,77395.0416667
2015,367,167445.0416667
2015,368,306999.041667
2015,369,383262.041667
2015,370,399267.041667
2015,371,359237.041667
2015,372,320242.041667
2015,373,263529.041667
2015,374,230275.041667
2015,375,286276.041667
2015,376,317223.041667
2015,377,313227.041667
2015,378,228630.04166699998
2015,379,217126.04166700004
2015,380,300130.041667
2015,381,287109.041667
2015,382,286112.041667
2015,383,224106.04166699998
2015,384,154109.041667
2015,385,91956.875
2015,386,77959.875
2015,387,76960.875
2015,388,83962.875
2015,389,88966.875
2015,390,98967.87500000001
2015,391,113959.875
2015,392,167687.875
2015,393,228678.875
2015,394,276671.875
2015,395,276019.875
2015,396,263016.875
2015,397,292007.875
2015,398,295957.875
2015,399,297917.875
2015,400,272917.875
2015,401,242897.87499999997
2015,402,216948.87500000003
2015,403,208040.87500000003
2015,404,337043.875
2015,405,339101.875
2015,406,341180.875
2015,407,247187.875
2015,408,163201.875
2015,409,120023.958333
2015,410,77031.958333
2015,411,77029.958333
2015,412,81040.958333
2015,413,81079.958333
2015,414,80093.958333
2015,415,131089.95833300002
2015,416,185019.958333
2015,417,242021.958333
2015,418,232019.95833299996
2015,419,220017.95833299996
2015,420,192017.95833300002
2015,421,176022.958333
2015,422,196023.95833300002
2015,423,167025.958333
2015,424,185046.958333
2015,425,178047.958333
2015,426,173607.958333
2015,427,201602.95833299996
2015,428,374605.958333
2015,429,375606.958333
2015,430,347600.958333
2015,431,208605.958333
2015,432,94601.958333
2015,433,79021.75
2015,434,80019.75
2015,435,79016.75
2015,436,80015.75
2015,437,79996.75
2015,438,127993.75
2015,439,212994.75
2015,440,205154.75
2015,441,262153.75000000006
2015,442,289162.75
2015,443,288172.75
2015,444,271352.75
2015,445,287372.75
2015,446,260372.74999999994
2015,447,272292.75
2015,448,275292.75
2015,449,268259.75
2015,450,259501.75
2015,451,259502.75
2015,452,344428.75
2015,453,349429.75
2015,454,313591.75
2015,455,209592.74999999997
2015,456,106590.75
2015,457,81618.208333
2015,458,76619.208333
2015,459,80610.208333
2015,460,78598.208333
2015,461,93599.208333
2015,462,224600.208333
2015,463,280539.208333
2015,464,272220.208333
2015,465,323858.208333
2015,466,394538.208333
2015,467,384730.208333
2015,468,396714.208333
2015,469,351679.208333
2015,470,288560.208333
2015,471,323458.208333
2015,472,331456.208333
2015,473,326406.208333
2015,474,292846.208333
2015,475,238234.208333
2015,476,340413.208333
2015,477,299413.208333
2015,478,242315.208333
2015,479,172315.208333
2015,480,154310.208333
2015,481,99264.875
2015,482,90264.875
2015,483,87264.875
2015,484,86263.875
2015,485,113252.87500000001
2015,486,175241.875
2015,487,224529.875
2015,488,256279.875
2015,489,331307.875
2015,490,387307.87499999994
2015,491,326284.875
2015,492,323333.875
2015,493,326273.875
2015,494,323895.875
2015,495,356973.875
2015,496,367023.875
2015,497,355023.875
2015,498,319736.875
2015,499,259740.875
2015,500,307696.875
2015,501,334879.875
2015,502,297733.875
2015,503,240735.875
2015,504,163950.875
2015,505,162092.583333
2015,506,152091.583333
2015,507,107093.58333299999
2015,508,105096.58333299999
2015,509,107101.58333299999
2015,510,184110.583333
2015,511,273126.583333
2015,512,269145.583333
2015,513,294144.583333
2015,514,301142.583333
2015,515,295140.583333
2015,516,291240.583333
2015,517,282240.583333
2015,518,254105.58333300005
2015,519,267102.583333
2015,520,259182.58333299993
2015,521,260180.583333
2015,522,233186.58333299996
2015,523,227193.583333
2015,524,326728.583333
2015,525,347733.583333
2015,526,335766.583333
2015,527,254770.583333
2015,528,155767.583333
2015,529,86555.458333
2015,530,98555.45833299999
2015,531,105558.458333
2015,532,100557.45833299999
2015,533,106562.45833299999
2015,534,211565.458333
2015,535,274551.458333
2015,536,287671.458333
2015,537,299675.458333
2015,538,286513.458333
2015,539,269514.458333
2015,540,292525.458333
2015,541,272535.458333
2015,542,242798.45833300002
2015,543,262796.45833299996
2015,544,231795.458333
2015,545,220795.458333
2015,546,218841.45833300002
2015,547,225920.458333
2015,548,352916.458333
2015,549,360915.458333
2015,550,316917.458333
2015,551,268916.458333
2015,552,179915.458333
2015,553,108251.916667
2015,554,77252.916667
2015,555,77251.916667
2015,556,83250.916667
2015,557,87249.916667
2015,558,109248.916667
2015,559,173388.916667
2015,560,194252.916667
2015,561,292114.916667
2015,562,303117.916667
2015,563,287116.916667
2015,564,282119.916667
2015,565,280691.916667
2015,566,240731.91666700004
2015,567,226684.916667
2015,568,223753.916667
2015,569,183752.916667
2015,570,190503.916667
2015,571,218575.916667
2015,572,318095.916667
2015,573,313217.916667
2015,574,253220.916667
2015,575,155220.916667
2015,576,78223.916667
2015,577,89350.25
2015,578,84347.25
2015,579,73350.25
2015,580,76352.25
2015,581,73353.25
2015,582,80356.25
2015,583,88350.25
2015,584,136611.25
2015,585,140612.25
2015,586,146612.25
2015,587,137304.25
2015,588,130004.25
2015,589,127966.25
2015,590,127964.25
2015,591,129974.25
2015,592,128000.25
2015,593,142983.25
2015,594,179980.25
2015,595,219750.25
2015,596,360671.25
2015,597,356672.25
2015,598,314672.25
2015,599,153672.25
2015,600,76672.25
2015,601,76702.625
2015,602,78678.625
2015,603,74679.625
2015,604,73679.625
2015,605,79681.625
2015,606,139679.625
2015,607,259046.625
2015,608,217044.62500000003
2015,609,205042.625
2015,610,261041.62500000006
2015,611,286040.625
2015,612,275463.625
2015,613,252572.625
2015,614,259391.625
2015,615,268390.625
2015,616,280390.625
2015,617,322390.625
2015,618,328800.625
2015,619,296800.625
2015,620,333440.625
2015,621,351440.625
2015,622,306162.625
2015,623,160176.625
2015,624,77058.625
2015,625,73354.916667
2015,626,85356.916667
2015,627,73354.916667
2015,628,72354.916667
2015,629,82354.916667
2015,630,164331.916667
2015,631,226311.91666700004
2015,632,203300.916667
2015,633,260290.916667
