,Scenario,Datetime,Region,Technology,Cost,Value
142,operation,2019,reg1,Diesel_engine_pp,fix_tax_cost,0.0
143,operation,2019,reg1,Elec_transmission_distribution,fix_tax_cost,0.0
144,operation,2019,reg2,Kerosene_supply,fix_tax_cost,0.0
145,operation,2019,reg2,Oil_supply,fix_tax_cost,0.0
146,operation,2019,reg2,BW_supply,fix_tax_cost,0.0
147,operation,2019,reg2,Diesel_supply,fix_tax_cost,0.0
148,operation,2019,reg2,Geo_PP,fix_tax_cost,0.0
149,operation,2019,reg2,Solar_PV_PP,fix_tax_cost,0.0
150,operation,2019,reg2,Wind_PP,fix_tax_cost,0.0
151,operation,2019,reg2,S_ROR_Hydro_PP,fix_tax_cost,0.0
152,operation,2019,reg2,L_ROR_Hydro_PP,fix_tax_cost,0.0
153,operation,2019,reg2,L_DAM_Hydro_PP,fix_tax_cost,0.0
154,operation,2019,reg2,HFO_PP,fix_tax_cost,0.0
155,operation,2019,reg2,HFO_CC_PP,fix_tax_cost,0.0
156,operation,2019,reg2,KGT_PP,fix_tax_cost,0.0
157,operation,2019,reg2,BW_PP,fix_tax_cost,0.0
158,operation,2019,reg2,Diesel_engine_pp,fix_tax_cost,0.0
159,operation,2019,reg2,Elec_transmission_distribution,fix_tax_cost,0.0
160,operation,2019,reg3,Kerosene_supply,fix_tax_cost,0.0
161,operation,2019,reg3,Oil_supply,fix_tax_cost,0.0
162,operation,2019,reg3,BW_supply,fix_tax_cost,0.0
163,operation,2019,reg3,Diesel_supply,fix_tax_cost,0.0
164,operation,2019,reg3,Geo_PP,fix_tax_cost,0.0
165,operation,2019,reg3,Solar_PV_PP,fix_tax_cost,0.0
166,operation,2019,reg3,Wind_PP,fix_tax_cost,0.0
167,operation,2019,reg3,S_ROR_Hydro_PP,fix_tax_cost,0.0
168,operation,2019,reg3,L_ROR_Hydro_PP,fix_tax_cost,0.0
169,operation,2019,reg3,L_DAM_Hydro_PP,fix_tax_cost,0.0
170,operation,2019,reg3,HFO_PP,fix_tax_cost,0.0
171,operation,2019,reg3,HFO_CC_PP,fix_tax_cost,0.0
172,operation,2019,reg3,KGT_PP,fix_tax_cost,0.0
173,operation,2019,reg3,BW_PP,fix_tax_cost,0.0
174,operation,2019,reg3,Diesel_engine_pp,fix_tax_cost,0.0
175,operation,2019,reg3,Elec_transmission_distribution,fix_tax_cost,0.0
176,operation,2019,reg4,Kerosene_supply,fix_tax_cost,0.0
177,operation,2019,reg4,Oil_supply,fix_tax_cost,0.0
178,operation,2019,reg4,BW_supply,fix_tax_cost,0.0
179,operation,2019,reg4,Diesel_supply,fix_tax_cost,0.0
180,operation,2019,reg4,Geo_PP,fix_tax_cost,0.0
181,operation,2019,reg4,Solar_PV_PP,fix_tax_cost,0.0
182,operation,2019,reg4,Wind_PP,fix_tax_cost,0.0
183,operation,2019,reg4,S_ROR_Hydro_PP,fix_tax_cost,0.0
184,operation,2019,reg4,L_ROR_Hydro_PP,fix_tax_cost,0.0
185,operation,2019,reg4,L_DAM_Hydro_PP,fix_tax_cost,0.0
186,operation,2019,reg4,HFO_PP,fix_tax_cost,0.0
187,operation,2019,reg4,HFO_CC_PP,fix_tax_cost,0.0
188,operation,2019,reg4,KGT_PP,fix_tax_cost,0.0
189,operation,2019,reg4,BW_PP,fix_tax_cost,0.0
190,operation,2019,reg4,Diesel_engine_pp,fix_tax_cost,0.0
191,operation,2019,reg4,Elec_transmission_distribution,fix_tax_cost,0.0
192,operation,2019,reg1,Kerosene_supply,fix_sub_cost,0.0
193,operation,2019,reg1,Oil_supply,fix_sub_cost,0.0
194,operation,2019,reg1,BW_supply,fix_sub_cost,0.0
195,operation,2019,reg1,Diesel_supply,fix_sub_cost,0.0
196,operation,2019,reg1,Geo_PP,fix_sub_cost,0.0
197,operation,2019,reg1,Solar_PV_PP,fix_sub_cost,0.0
198,operation,2019,reg1,Wind_PP,fix_sub_cost,0.0
199,operation,2019,reg1,S_ROR_Hydro_PP,fix_sub_cost,0.0
200,operation,2019,reg1,L_ROR_Hydro_PP,fix_sub_cost,0.0
201,operation,2019,reg1,L_DAM_Hydro_PP,fix_sub_cost,0.0
202,operation,2019,reg1,HFO_PP,fix_sub_cost,0.0
203,operation,2019,reg1,HFO_CC_PP,fix_sub_cost,0.0
204,operation,2019,reg1,KGT_PP,fix_sub_cost,0.0
205,operation,2019,reg1,BW_PP,fix_sub_cost,0.0
206,operation,2019,reg1,Diesel_engine_pp,fix_sub_cost,0.0
207,operation,2019,reg1,Elec_transmission_distribution,fix_sub_cost,0.0
208,operation,2019,reg2,Kerosene_supply,fix_sub_cost,0.0
209,operation,2019,reg2,Oil_supply,fix_sub_cost,0.0
210,operation,2019,reg2,BW_supply,fix_sub_cost,0.0
211,operation,2019,reg2,Diesel_supply,fix_sub_cost,0.0
212,operation,2019,reg2,Geo_PP,fix_sub_cost,0.0
213,operation,2019,reg2,Solar_PV_PP,fix_sub_cost,0.0
214,operation,2019,reg2,Wind_PP,fix_sub_cost,0.0
215,operation,2019,reg2,S_ROR_Hydro_PP,fix_sub_cost,0.0
216,operation,2019,reg2,L_ROR_Hydro_PP,fix_sub_cost,0.0
217,operation,2019,reg2,L_DAM_Hydro_PP,fix_sub_cost,0.0
218,operation,2019,reg2,HFO_PP,fix_sub_cost,0.0
219,operation,2019,reg2,HFO_CC_PP,fix_sub_cost,0.0
220,operation,2019,reg2,KGT_PP,fix_sub_cost,0.0
221,operation,2019,reg2,BW_PP,fix_sub_cost,0.0
222,operation,2019,reg2,Diesel_engine_pp,fix_sub_cost,0.0
223,operation,2019,reg2,Elec_transmission_distribution,fix_sub_cost,0.0
224,operation,2019,reg3,Kerosene_supply,fix_sub_cost,0.0
225,operation,2019,reg3,Oil_supply,fix_sub_cost,0.0
226,operation,2019,reg3,BW_supply,fix_sub_cost,0.0
227,operation,2019,reg3,Diesel_supply,fix_sub_cost,0.0
228,operation,2019,reg3,Geo_PP,fix_sub_cost,0.0
229,operation,2019,reg3,Solar_PV_PP,fix_sub_cost,0.0
230,operation,2019,reg3,Wind_PP,fix_sub_cost,0.0
231,operation,2019,reg3,S_ROR_Hydro_PP,fix_sub_cost,0.0
232,operation,2019,reg3,L_ROR_Hydro_PP,fix_sub_cost,0.0
233,operation,2019,reg3,L_DAM_Hydro_PP,fix_sub_cost,0.0
234,operation,2019,reg3,HFO_PP,fix_sub_cost,0.0
235,operation,2019,reg3,HFO_CC_PP,fix_sub_cost,0.0
236,operation,2019,reg3,KGT_PP,fix_sub_cost,0.0
237,operation,2019,reg3,BW_PP,fix_sub_cost,0.0
238,operation,2019,reg3,Diesel_engine_pp,fix_sub_cost,0.0
239,operation,2019,reg3,Elec_transmission_distribution,fix_sub_cost,0.0
240,operation,2019,reg4,Kerosene_supply,fix_sub_cost,0.0
241,operation,2019,reg4,Oil_supply,fix_sub_cost,0.0
242,operation,2019,reg4,BW_supply,fix_sub_cost,0.0
243,operation,2019,reg4,Diesel_supply,fix_sub_cost,0.0
244,operation,2019,reg4,Geo_PP,fix_sub_cost,0.0
245,operation,2019,reg4,Solar_PV_PP,fix_sub_cost,0.0
246,operation,2019,reg4,Wind_PP,fix_sub_cost,0.0
247,operation,2019,reg4,S_ROR_Hydro_PP,fix_sub_cost,0.0
248,operation,2019,reg4,L_ROR_Hydro_PP,fix_sub_cost,0.0
249,operation,2019,reg4,L_DAM_Hydro_PP,fix_sub_cost,0.0
250,operation,2019,reg4,HFO_PP,fix_sub_cost,0.0
251,operation,2019,reg4,HFO_CC_PP,fix_sub_cost,0.0
252,operation,2019,reg4,KGT_PP,fix_sub_cost,0.0
253,operation,2019,reg4,BW_PP,fix_sub_cost,0.0
254,operation,2019,reg4,Diesel_engine_pp,fix_sub_cost,0.0
255,operation,2019,reg4,Elec_transmission_distribution,fix_sub_cost,0.0
256,operation,2019,reg1,Kerosene_supply,CO2_emission_cost,0.0
257,operation,2019,reg1,Oil_supply,CO2_emission_cost,0.0
258,operation,2019,reg1,BW_supply,CO2_emission_cost,0.0
259,operation,2019,reg1,Diesel_supply,CO2_emission_cost,0.0
260,operation,2019,reg1,Geo_PP,CO2_emission_cost,0.0
261,operation,2019,reg1,Solar_PV_PP,CO2_emission_cost,0.0
262,operation,2019,reg1,Wind_PP,CO2_emission_cost,0.0
263,operation,2019,reg1,S_ROR_Hydro_PP,CO2_emission_cost,0.0
264,operation,2019,reg1,L_ROR_Hydro_PP,CO2_emission_cost,0.0
265,operation,2019,reg1,L_DAM_Hydro_PP,CO2_emission_cost,0.0
266,operation,2019,reg1,HFO_PP,CO2_emission_cost,0.0
267,operation,2019,reg1,HFO_CC_PP,CO2_emission_cost,0.0
268,operation,2019,reg1,KGT_PP,CO2_emission_cost,0.0
269,operation,2019,reg1,BW_PP,CO2_emission_cost,0.0
270,operation,2019,reg1,Diesel_engine_pp,CO2_emission_cost,0.0
271,operation,2019,reg2,Kerosene_supply,CO2_emission_cost,0.0
272,operation,2019,reg2,Oil_supply,CO2_emission_cost,0.0
273,operation,2019,reg2,BW_supply,CO2_emission_cost,0.0
274,operation,2019,reg2,Diesel_supply,CO2_emission_cost,0.0
275,operation,2019,reg2,Geo_PP,CO2_emission_cost,0.0
276,operation,2019,reg2,Solar_PV_PP,CO2_emission_cost,0.0
277,operation,2019,reg2,Wind_PP,CO2_emission_cost,0.0
278,operation,2019,reg2,S_ROR_Hydro_PP,CO2_emission_cost,0.0
