Year_name,,Electricity_demand
2015,200,95638.375
2015,201,101728.375
2015,202,106778.375
2015,203,106830.375
2015,204,106680.375
2015,205,107438.375
2015,206,94640.375
2015,207,97692.375
2015,208,97193.375
2015,209,92194.375
2015,210,94994.375
2015,211,107990.375
2015,212,134134.375
2015,213,134548.375
2015,214,130640.375
2015,215,109350.375
2015,216,90510.375
2015,217,81323.5
2015,218,74680.5
2015,219,71491.5
2015,220,70397.5
2015,221,71451.5
2015,222,77035.5
2015,223,84851.5
2015,224,93010.5
2015,225,97013.5
2015,226,104065.5
2015,227,109568.5
2015,228,108841.5
2015,229,107538.5
2015,230,104694.5
2015,231,102895.5
2015,232,102049.5
2015,233,99507.5
2015,234,99560.5
2015,235,108177.5
2015,236,141820.5
2015,237,141437.5
2015,238,131270.5
2015,239,114864.5
2015,240,90319.5
2015,241,79880.33333
2015,242,74886.33333
2015,243,69803.33333
2015,244,68490.33333
2015,245,69528.33333
2015,246,73866.33333
2015,247,81642.33333
2015,248,85172.33333
2015,249,93075.33333
2015,250,93585.33333
2015,251,82935.33333
2015,252,77714.33333
2015,253,76627.33333
2015,254,77061.33333
2015,255,78421.33333
2015,256,78531.33333
2015,257,74441.33333
2015,258,81031.33333
2015,259,91604.33333
2015,260,128409.3333
2015,261,130072.3333
2015,262,118353.3333
2015,263,92312.33333
2015,264,75521.33333
2015,265,64856.08333
2015,266,58984.08333
2015,267,54946.08333
2015,268,53992.08333
2015,269,54735.08333
2015,270,65718.08333
2015,271,83350.08333
2015,272,87072.08333
2015,273,90325.08333
2015,274,94098.08333
2015,275,92603.08333
2015,276,93028.08333
2015,277,84574.08333
2015,278,91967.08333
2015,279,96381.08333
2015,280,98582.08333
2015,281,97426.08333
2015,282,99248.08333
2015,283,108851.0833
2015,284,144025.0833
2015,285,142294.0833
2015,286,137979.0833
2015,287,108924.0833
2015,288,91346.08333
2015,289,78183.25
2015,290,73945.25
2015,291,72065.25
2015,292,72850.25
2015,293,73287.25
2015,294,82647.25
2015,295,98923.25
2015,296,102322.25
2015,297,103072.25
2015,298,106931.25
2015,299,104491.25
2015,300,104491.25
2015,301,101541.25
2015,302,93961.25
2015,303,93811.25
2015,304,94741.25
2015,305,92821.25
2015,306,90461.25
2015,307,107657.25
2015,308,128118.25
2015,309,138021.25
2015,310,129853.25
2015,311,107553.25
2015,312,88383.25
2015,313,78875.66667
2015,314,75846.66667
2015,315,74064.66667
2015,316,74447.66667
2015,317,75205.66667
2015,318,80889.66667
2015,319,95633.66667
2015,320,103433.6667
2015,321,102733.6667
2015,322,108026.6667
2015,323,106821.6667
2015,324,106348.6667
2015,325,105153.6667
2015,326,99705.66667
2015,327,103499.6667
2015,328,105204.6667
2015,329,105596.6667
2015,330,100930.6667
2015,331,107839.6667
2015,332,144289.6667
2015,333,142642.6667
2015,334,135218.6667
2015,335,116805.6667
2015,336,93138.66667
2015,337,79623.0
2015,338,75132.0
2015,339,73208.0
2015,340,73754.0
2015,341,74891.0
2015,342,81430.0
2015,343,95348.0
2015,344,96353.0
2015,345,100102.0
2015,346,97640.0
2015,347,104440.0
2015,348,106020.0
2015,349,101970.0
2015,350,98692.0
2015,351,102170.0
2015,352,100230.0
2015,353,98188.0
2015,354,96028.0
2015,355,105034.0
2015,356,145189.0
2015,357,145582.0
2015,358,136364.0
2015,359,109264.0
2015,360,87874.0
2015,361,79412.04167
2015,362,74372.04167
2015,363,72419.04167
2015,364,47118.04167
2015,365,14241.04167
2015,366,21727.04167
2015,367,58777.04167
2015,368,96049.04167
2015,369,100012.0417
2015,370,102917.0417
2015,371,100787.0417
2015,372,105192.0417
2015,373,102179.0417
2015,374,97825.04167
2015,375,98226.04167
2015,376,98123.04167
2015,377,99127.04167
2015,378,98530.04167
2015,379,108622.0417
2015,380,137072.0417
2015,381,140615.0417
2015,382,131400.0417
2015,383,107894.0417
2015,384,87947.04167
2015,385,80310.875
2015,386,77671.875
2015,387,72286.875
2015,388,71874.875
2015,389,71112.875
2015,390,76349.875
2015,391,84541.875
2015,392,92437.875
2015,393,100028.875
2015,394,102721.875
2015,395,103169.875
2015,396,99166.875
2015,397,94607.875
