,Datetime,Region,Technology,Cost,Value
231,2015,reg1,Small_Hydro_PP,CO2_emission_cost,0.0
232,2015,reg1,Large_Hydro_PP,CO2_emission_cost,0.0
233,2015,reg1,SFF_PP,CO2_emission_cost,0.0
234,2015,reg1,Oil_PP,CO2_emission_cost,0.0
235,2015,reg1,NG_PP,CO2_emission_cost,0.0
236,2015,reg1,BW_PP,CO2_emission_cost,0.0
237,2015,reg2,NG_supply,CO2_emission_cost,0.0
238,2015,reg2,SFF_supply,CO2_emission_cost,0.0
239,2015,reg2,OP_supply,CO2_emission_cost,0.0
240,2015,reg2,BW_supply,CO2_emission_cost,0.0
241,2015,reg2,Geo_PP,CO2_emission_cost,0.0
242,2015,reg2,Solar_PV_PP,CO2_emission_cost,0.0
243,2015,reg2,Wind_PP,CO2_emission_cost,0.0
244,2015,reg2,Small_Hydro_PP,CO2_emission_cost,0.0
245,2015,reg2,Large_Hydro_PP,CO2_emission_cost,0.0
246,2015,reg2,SFF_PP,CO2_emission_cost,0.0
247,2015,reg2,Oil_PP,CO2_emission_cost,0.0
248,2015,reg2,NG_PP,CO2_emission_cost,0.0
249,2015,reg2,BW_PP,CO2_emission_cost,0.0
250,2015,reg3,NG_supply,CO2_emission_cost,0.0
251,2015,reg3,SFF_supply,CO2_emission_cost,0.0
252,2015,reg3,OP_supply,CO2_emission_cost,0.0
253,2015,reg3,BW_supply,CO2_emission_cost,0.0
254,2015,reg3,Geo_PP,CO2_emission_cost,0.0
255,2015,reg3,Solar_PV_PP,CO2_emission_cost,0.0
256,2015,reg3,Wind_PP,CO2_emission_cost,0.0
257,2015,reg3,Small_Hydro_PP,CO2_emission_cost,0.0
258,2015,reg3,Large_Hydro_PP,CO2_emission_cost,0.0
259,2015,reg3,SFF_PP,CO2_emission_cost,0.0
260,2015,reg3,Oil_PP,CO2_emission_cost,0.0
261,2015,reg3,NG_PP,CO2_emission_cost,0.0
262,2015,reg3,BW_PP,CO2_emission_cost,0.0
263,2015,reg4,NG_supply,CO2_emission_cost,0.0
264,2015,reg4,SFF_supply,CO2_emission_cost,0.0
265,2015,reg4,OP_supply,CO2_emission_cost,0.0
